iter	Logloss
0	0.6329707572
1	0.5855059361
2	0.5484508975
3	0.5191400663
4	0.4962121563
5	0.4780579356
6	0.4637984602
7	0.4527290108
8	0.4439467743
9	0.4369722914
10	0.4314739017
11	0.4271034054
12	0.422952919
13	0.4201972328
14	0.4179790346
15	0.4162129832
16	0.4146859749
17	0.4133905008
18	0.4124875967
19	0.4117526655
20	0.4111687938
21	0.4106293133
22	0.4102467893
23	0.4099436399
24	0.4095249164
25	0.408802317
26	0.408243618
27	0.4081163135
28	0.4080177635
29	0.4079219046
30	0.4078433096
31	0.4076582019
32	0.407336084
33	0.4072985282
34	0.4072686418
35	0.4070451805
36	0.4070195962
37	0.4069827409
38	0.4065841408
39	0.406565252
40	0.406542934
41	0.4065375088
42	0.4064535409
43	0.4064083935
44	0.4063939775
45	0.4063910428
