iter	Passed	Remaining
0	67	13461
1	72	7158
2	76	5048
3	81	3972
4	84	3314
5	88	2858
6	91	2536
7	94	2257
8	96	2046
9	99	1888
10	101	1744
11	103	1623
12	106	1534
13	109	1455
14	111	1379
15	114	1311
16	116	1256
17	119	1205
18	121	1155
19	123	1115
20	125	1070
21	127	1033
22	129	997
23	131	961
24	133	934
25	135	909
26	138	885
27	140	863
28	141	837
29	143	813
30	145	794
31	148	777
32	150	761
33	152	744
34	154	728
35	156	714
36	158	697
37	159	681
38	162	669
39	164	656
40	165	642
41	167	628
42	169	617
43	171	607
44	173	597
45	175	587
